名称,发文数,关注数,粉丝数,获赞数,认证,位置,简介,文章id,标题,发布时间,评论数,转发数,点赞数
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,习近平同阿联酋阿布扎比王储穆罕默德通电话,2020/2/25 17:50,11,1,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,Vlog丨我的医生爸爸撒谎了：去广州，开会去！五十人！,2020/2/25 17:13,331,38,2325
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,"<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> 【日本确诊853例新冠肺炎】截至当地时间25日下午五点，日本的新冠肺炎感染者共计853人。其中包括在日本国内的感染者和中国游客等148人，“钻石公主”号邮轮的乘客和乘务人员691人，以及乘坐日本政府包机回到日本国内的14人。（总台记者何欣蕾） ​​​​",2020/2/25 17:01,45,8,486
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,【韩国限制防疫物资出口】为应对不断升级的新冠肺炎疫情，韩国政府决定从26日零时起至4月30日，实施紧急调整口罩和洗手液消毒液等防疫物资供应措施。具体包括，从26日起韩国全面禁止销售商出口口罩，生产厂家的出口量也限制在当天生产量的10%以内。此外，鉴于韩国防疫形势严峻，原计划于3月22日-29日举行的世界乒乓球锦标赛已决定推迟至6月21日-28日。（总台记者李大杰）,2020/2/25 17:00,250,15,1046
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,【即日起，山东威海要求日韩等国入境人员集中居住14天】今天，山东省威海市研究部署威海防控境外疫情输入工作，要求从即日起，对从日本、韩国等国家来威海的入境人员，包括外籍人员和中方人员，全部统一接到宾馆免费集中居住，14天后解除集中居住。对2月10日以来从日韩已经入境的中外人员，全部进行电话随访，了解每个人的身体状况，对发热人员和密切接触者迅速进行专业处置。（威海发布）,2020/2/25 16:57,7428,253,6167
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,20200226180920010014047067250314D4,戴口罩长痘该怎么办？,2020/2/25 16:28,65,11,379
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,20200226180920010014047067250314D4,"<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> 【韩国累计确诊977例新冠肺炎  死亡10人】据韩国卫生部门消息，截至当地时间25日16时，韩国新型冠状病毒感染总数达到977人，死亡10人。（总台记者唐鑫） ​​​​",2020/2/25 16:17,1011,25,1107
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,20200226180920010014047067250314D4,低风险区域不等于没有风险  居民还是要做好防护！,2020/2/25 16:15,6,1,122
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,20200226180920010014047067250314D4,安徽将省重大突发公共卫生事件一级响应调整为二级,2020/2/25 15:55,2,0,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,20200226180920010014047067250314D4,山东青岛对入境人员中的“四类情形”实行集中隔离或留观,2020/2/25 15:52,40,2,0
